Month	Ward number 	Ward Name	Number of Connectionss	Consumption in ML
01-04-2025	1	Kempegowda Ward	4125	114.7
01-04-2025	2	Chowdeshwari Ward	456	10.9
01-04-2025	3	Attur	5911	187.01
01-04-2025	4	Yelahanka Satellite town	7710	415.53
01-04-2025	5	Jakkur	3686	117.07
01-04-2025	6	Thanisandra	2739	56.83
01-04-2025	7	Byatarayanapura	9646	321.35
01-04-2025	8	Kodigehalli	5312	145.84
01-04-2025	9	Vidyaranyapura	12933	425.62
01-04-2025	10	Doddabommasandra	1806	28.09
01-04-2025	11	Kuvempunagar	4321	64.69
01-04-2025	12	Shettyhalli	6599	129.36
01-04-2025	13	Mallasandra	4475	80.07
01-04-2025	14	Bagalagunte	8716	234.67
01-04-2025	14	sidedahalli	1447	30.21
01-04-2025	15	T. Dasarahalli	4558	172.25
01-04-2025	16	Jalahalli	3106	101.22
01-04-2025	17	J.P.Park	5728	130.19
01-04-2025	18	Radhakrishna Temple Ward	5517	104.81
01-04-2025	19	Sanjaynagar	5795	83.49
01-04-2025	20	Ganganagar	3321	76.76
01-04-2025	21	Hebbal	7423	171.61
01-04-2025	22	VishwanathNagenahalli	3273	85.78
01-04-2025	23	Nagavara	9013	199.59
01-04-2025	24	HBR Layout	8000	251.42
01-04-2025	25	Horamavu	5195	95.32
01-04-2025	26	Ramamurthynagar	9245	259.71
01-04-2025	27	Banasawadi	9565	292.73
01-04-2025	28	Kammanahalli	6629	187.25
01-04-2025	29	Kacharakanahalli	4843	140.21
01-04-2025	30	Kadugondanahalli	5207	137.32
01-04-2025	31	Kushalnagar	3141	57.32
01-04-2025	32	Kavalbyrasandra	5575	117.82
01-04-2025	33	Manorayanapalya	2646	58.59
01-04-2025	34	Gangenahalli	2319	53.63
01-04-2025	35	Aramane Nagar	2945	81.55
01-04-2025	36	Mathikere	4132	93.11
01-04-2025	37	Yeshwanthpur	3184	66.86
01-04-2025	38	H.M.T	3651	144.79
01-04-2025	39	Chokkasandra	5777	154.95
01-04-2025	40	Doddabidirakalu	1	0
01-04-2025	41	Peenya Industrial Area	6934	206.45
01-04-2025	42	Lakshmidevinagar	5139	115.56
01-04-2025	43	Nandini Layout	6431	162.55
01-04-2025	44	Marappanahalli	4440	128.2
01-04-2025	45	Malleshwaram	3649	111.08
01-04-2025	46	Jayachamarajendra Nagar	5311	200.64
01-04-2025	47	Devarajeevanahalli	3756	79.63
01-04-2025	48	Muneshwaranagar	2190	36.97
01-04-2025	49	Lingarajapura	5704	98.9
01-04-2025	50	Benniganahalli	5873	393.16
01-04-2025	51	Vijinapura	6164	130.3
01-04-2025	52	K.R.Puram	8758	166.47
01-04-2025	53	Basavanapura	7839	180.35
01-04-2025	54	Hoodi	5061	311.37
01-04-2025	55	Devasandra	3181	85.56
01-04-2025	56	A. Narayanapura	8391	230.23
01-04-2025	57	C.V. Ramannagar	3235	98.7
01-04-2025	58	Hosathippasandra	6011	165.38
01-04-2025	59	Maruthiseva Nagar	5621	164.06
01-04-2025	60	Sagayapuram	4404	100.83
01-04-2025	61	S.K. Garden	2886	83.86
01-04-2025	62	Ramaswamy palya	3129	83.76
01-04-2025	63	Jayamahal	3068	124.91
01-04-2025	64	Rajamahal	3690	95.26
01-04-2025	65	Kadumalleshwara	5599	164.13
01-04-2025	66	Subramanyanagar	4279	131.37
01-04-2025	67	Nagapura	5780	189.79
01-04-2025	68	Mahalakshmipuram	5083	138.51
01-04-2025	69	Laggere	10189	259.23
01-04-2025	70	Rajagopalanagar	8212	209.44
01-04-2025	71	Hegganahalli	8632	243.06
01-04-2025	72	Herohalli	10279	219.96
01-04-2025	73	Kottigepalya	8428	219.85
01-04-2025	74	Shakthiganapathi nagar	6104	164.24
01-04-2025	75	Shankaramata	5201	159.44
01-04-2025	76	Gayathrinagar	4364	117.99
01-04-2025	77	Dattathreya Temple	4474	118.81
01-04-2025	78	Pulikeshinagar	3585	122.16
01-04-2025	79	Sarvagnanagar	3457	82.76
01-04-2025	80	Hoysalanagar	5472	162.83
01-04-2025	81	Vignananagar	6961	203.26
01-04-2025	82	Garudacharpalya	4322	182.53
01-04-2025	83	Kadugodi	859	31.74
01-04-2025	84	Hagadooru	1988	99.94
01-04-2025	85	Doddanekkundi	5543	317.52
01-04-2025	85	Varthur	708	68.36
01-04-2025	86	Marathalli	4521	158.91
01-04-2025	87	HAL Airport	4360	94.93
01-04-2025	88	Jeevanbhimanagar	6014	163.31
01-04-2025	89	Jogupalya	4074	133.49
01-04-2025	90	Ulsoor	5595	333.61
01-04-2025	91	Bharathinagar	2233	108.84
01-04-2025	92	Shivajinagar	5116	193.68
01-04-2025	93	Vasanthnagar	3733	277.32
01-04-2025	94	Gandhinagar	4769	350.22
01-04-2025	95	Subhashnagar	3090	61.12
01-04-2025	96	Okalipuram	3416	139.88
01-04-2025	97	Dayanandanagar	3492	83.97
01-04-2025	98	Prakashnagar	3074	82.36
01-04-2025	99	Rajajinagar	3908	119.79
01-04-2025	100	Basaveshwaranagar	5760	177.26
01-04-2025	101	Kamakshipalya	3679	102.95
01-04-2025	102	Vrushabhavathi Nagar	4170	108.23
01-04-2025	103	Kaveripura	5038	120.28
01-04-2025	104	Govindrajnagara	2867	69.12
01-04-2025	105	Agrahara Dasarahalli	3205	106.43
01-04-2025	106	Dr. Rajkumar Ward	2468	90.88
01-04-2025	107	Shivanagar	2453	92.23
01-04-2025	108	Srirammandira ward	4675	125.64
01-04-2025	109	Chikpet	5590	115.2
01-04-2025	110	Sampangiramnagar	3021	137.8
01-04-2025	111	Shanthala Nagar	3773	241.22
01-04-2025	112	Dommalur	4743	211.98
01-04-2025	113	Konena Agrahara	3932	131.51
01-04-2025	114	Agaram	2927	152.89
01-04-2025	115	Vannarpet	5169	111
01-04-2025	116	Neelasandra	2635	63.04
01-04-2025	117	Shanthinagar	6204	257.64
01-04-2025	118	Sudamnagar	5136	99.74
01-04-2025	119	Dharmarayaswamy Temple Ward	4952	99.4
01-04-2025	120	Cottonpet	3062	65.28
01-04-2025	121	Binnypet	4552	106.7
01-04-2025	122	Kempapura Agrahara	3878	86.66
01-04-2025	123	Vijaynagar	3591	94.86
01-04-2025	124	Hosahalli	4505	121.1
01-04-2025	125	Marenahalli	3378	94.62
01-04-2025	126	Maruthi Mandira Ward	4020	108.37
01-04-2025	127	Moodalapalya	5827	147.14
01-04-2025	128	Nagarabhavi	10788	281.93
01-04-2025	129	Jnanabharathi ward	13690	363.63
01-04-2025	130	Ullalu	8778	201.38
01-04-2025	131	Nayandanahalli	4328	139.38
01-04-2025	132	Attiguppe	5466	185.87
01-04-2025	133	Hampinagar	3033	86.64
01-04-2025	134	Bapujinagar	4450	142.84
01-04-2025	135	Padarayanapura	2000	73.7
01-04-2025	136	Jagareevanram Nagar	4825	134.73
01-04-2025	137	Rayapuram	3451	88.18
01-04-2025	138	Chalavadipalya	2412	56.77
01-04-2025	139	K.R. Market	2931	53.52
01-04-2025	140	Chamrajpet	4797	171.7
01-04-2025	141	Azadnagar	4019	110.04
01-04-2025	142	Sunkenahalli	2843	66.38
01-04-2025	143	Vishweshrapuram	4751	119.44
01-04-2025	144	Siddapura	4541	121.53
01-04-2025	145	Hombegowdanagar	6496	200.06
01-04-2025	146	Lakkasandra	2834	104.55
01-04-2025	147	Adugodi	3402	109.28
01-04-2025	148	Ejipura	4773	140.99
01-04-2025	149	Varthur	3299	150.54
01-04-2025	150	Bellandur	4468	363.73
01-04-2025	151	Koramangala	7103	289.52
01-04-2025	152	Sudduguntepalya	4054	153.16
01-04-2025	153	Jayanagar	339	8.47
01-04-2025	153	Jayangar	3638	177
01-04-2025	154	Basavanagudi	5783	145.01
01-04-2025	155	Hanumanthanagar	4129	98.16
01-04-2025	156	Srinagar	5661	148.58
01-04-2025	157	Gali Anjaneya swamy Temple Ward	5379	142.84
01-04-2025	158	Deepanjali Nagar	2932	85.05
01-04-2025	159	Kengeri	14325	289.82
01-04-2025	160	Rajarajeshwarinagar	16092	466.92
01-04-2025	161	Hosakerehalli	7344	186.91
01-04-2025	162	Girinagar	7691	195.05
01-04-2025	163	Katriguppe	6548	155.45
01-04-2025	164	Vidyapeetha Ward	4720	111.14
01-04-2025	165	Ganeshmandira Ward	4481	121.06
