month,ward_number,ward_name,connections,consumption_ml,location_id
2025-04-01,1,Kempegowda Ward,4125,114.7,1_kempegowda_ward
2025-04-01,2,Chowdeshwari Ward,456,10.9,2_chowdeshwari_ward
2025-04-01,3,Attur,5911,187.01,3_attur
2025-04-01,4,Yelahanka Satellite Town,7710,415.53,4_yelahanka_satellite_town
2025-04-01,5,Jakkur,3686,117.07,5_jakkur
2025-04-01,6,Thanisandra,2739,56.83,6_thanisandra
2025-04-01,7,Byatarayanapura,9646,321.35,7_byatarayanapura
2025-04-01,8,Kodigehalli,5312,145.84,8_kodigehalli
2025-04-01,9,Vidyaranyapura,12933,425.62,9_vidyaranyapura
2025-04-01,10,Doddabommasandra,1806,28.09,10_doddabommasandra
2025-04-01,11,Kuvempunagar,4321,64.69,11_kuvempunagar
2025-04-01,12,Shettyhalli,6599,129.36,12_shettyhalli
2025-04-01,13,Mallasandra,4475,80.07,13_mallasandra
2025-04-01,14,Bagalagunte,8716,234.67,14_bagalagunte
2025-04-01,14,Sidedahalli,1447,30.21,14_sidedahalli
2025-04-01,15,T. Dasarahalli,4558,172.25,15_t._dasarahalli
2025-04-01,16,Jalahalli,3106,101.22,16_jalahalli
2025-04-01,17,J.P.Park,5728,130.19,17_j.p.park
2025-04-01,18,Radhakrishna Temple Ward,5517,104.81,18_radhakrishna_temple_ward
2025-04-01,19,Sanjaynagar,5795,83.49,19_sanjaynagar
2025-04-01,20,Ganganagar,3321,76.76,20_ganganagar
2025-04-01,21,Hebbal,7423,171.61,21_hebbal
2025-04-01,22,Vishwanathnagenahalli,3273,85.78,22_vishwanathnagenahalli
2025-04-01,23,Nagavara,9013,199.59,23_nagavara
2025-04-01,24,Hbr Layout,8000,251.42,24_hbr_layout
2025-04-01,25,Horamavu,5195,95.32,25_horamavu
2025-04-01,26,Ramamurthynagar,9245,259.71,26_ramamurthynagar
2025-04-01,27,Banasawadi,9565,292.73,27_banasawadi
2025-04-01,28,Kammanahalli,6629,187.25,28_kammanahalli
